,,,,,,,Misc,,,Approx Val,,,Passing,,,,,Rushing,,,Receiving,,,,,,,
Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
1,1,CLE,Baker Mayfield,QB,23,2020,0,0,3,30,30,46,932,1506,11115,75,43,121,437,4,1,6,0,,,,Oklahoma,College Stats
1,2,NYG,Saquon Barkley,RB,21,2020,0,1,2,23,23,31,0,0,0,0,0,497,2344,17,149,1219,6,,,,Penn St.,College Stats
1,3,NYJ,Sam Darnold,QB,21,2020,0,0,3,15,15,38,729,1219,8097,45,39,114,417,5,0,0,0,,,,USC,College Stats
1,4,CLE,Denzel Ward,CB,21,2020,0,1,3,17,17,37,0,0,0,0,0,0,0,0,0,0,0,117,7,,Ohio St.,College Stats
1,5,DEN,Bradley Chubb,DE,22,2020,0,1,2,18,18,34,0,0,0,0,0,0,0,0,0,0,0,83,,20.5,North Carolina St.,College Stats
1,6,IND,Quenton Nelson,G,22,2020,3,3,3,43,43,48,0,0,0,0,0,1,0,0,0,0,0,,,,Notre Dame,College Stats
1,7,BUF,Josh Allen,QB,22,2020,0,1,3,36,36,44,836,1353,9707,67,31,300,1562,25,1,12,1,,,,Wyoming,College Stats
1,8,CHI,Roquan Smith,ILB,21,2020,0,0,3,30,30,44,0,0,0,0,0,0,0,0,0,0,0,253,4,11,Georgia,College Stats
1,9,SFO,Mike McGlinchey,T,23,2020,0,0,3,19,19,44,0,0,0,0,0,0,0,0,0,0,0,,,,Notre Dame,College Stats
1,10,ARI,Josh Rosen,QB,21,2019,0,0,1,3,2,20,275,502,2845,12,19,26,151,0,0,0,0,,,,UCLA,College Stats
1,11,MIA,Minkah Fitzpatrick,S,21,2020,2,2,2,32,5,48,0,0,0,0,0,0,0,0,0,0,0,155,11,,Alabama,College Stats
1,12,TAM,Vita Vea,DT,23,2020,0,0,1,14,14,34,0,0,0,0,0,0,0,0,1,1,1,46,,7.5,Washington,College Stats
1,13,WAS,Daron Payne,DT,21,2020,0,0,3,20,20,47,0,0,0,0,0,0,0,0,0,0,0,94,1,10,Alabama,College Stats
1,14,NOR,Marcus Davenport,DE,22,2020,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,39,,12,Texas-San Antonio,College Stats
1,15,OAK,Kolton Miller,T,22,2020,0,0,3,20,20,46,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats
1,16,BUF,Tremaine Edmunds,ILB,20,2020,0,2,3,31,31,46,0,0,0,0,0,0,0,0,0,0,0,223,3,5.5,Virginia Tech,College Stats
1,17,LAC,Derwin James,S,22,2019,1,1,1,14,14,21,0,0,0,0,0,0,0,0,0,0,0,98,3,3.5,Florida St.,College Stats
1,18,GNB,Jaire Alexander,CB,21,2020,0,1,3,21,21,44,0,0,0,0,0,0,0,0,0,0,0,151,4,1.5,Louisville,College Stats
1,19,DAL,Leighton Vander Esch,OLB,22,2020,0,1,3,19,19,35,0,0,0,0,0,0,0,0,0,0,0,177,2,1.5,Boise St.,College Stats
1,20,DET,Frank Ragnow,C,22,2020,0,1,3,22,22,45,0,0,0,0,0,0,0,0,0,0,0,1,,,Arkansas,College Stats
1,21,CIN,Billy Price,C,23,2020,0,0,1,10,10,42,0,0,0,0,0,0,0,0,0,0,0,,,,Ohio St.,College Stats
1,22,TEN,Rashaan Evans,ILB,22,2020,0,0,2,20,20,47,0,0,0,0,0,0,0,0,0,0,0,161,,3,Alabama,College Stats
1,23,NWE,Isaiah Wynn,T,22,2020,0,0,2,8,8,18,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
1,24,CAR,D.J. Moore,WR,21,2020,0,0,3,25,25,46,0,1,0,0,0,21,234,0,208,3156,10,1,,,Maryland,College Stats
1,25,BAL,Hayden Hurst,TE,25,2020,0,0,0,11,6,44,0,0,0,0,0,1,0,0,99,1083,9,,,,South Carolina,College Stats
1,26,ATL,Calvin Ridley,WR,23,2020,0,0,2,24,24,44,0,0,0,0,0,13,62,0,217,3061,26,,,,Alabama,College Stats
1,27,SEA,Rashaad Penny,RB,22,2020,0,0,0,7,7,27,0,0,0,0,0,161,823,5,17,158,1,,,,San Diego St.,College Stats
1,28,PIT,Terrell Edmunds,S,21,2020,0,0,3,16,16,47,0,0,0,0,0,0,0,0,0,0,0,172,3,2,Virginia Tech,College Stats
1,29,JAX,Taven Bryan,DT,22,2020,0,0,2,9,9,48,0,0,0,0,0,0,0,0,0,0,0,41,,3.5,Florida,College Stats
1,30,MIN,Mike Hughes,CB,21,2020,0,0,0,5,5,24,0,0,0,0,0,0,0,0,0,0,0,67,2,,Central Florida,College Stats
1,31,NWE,Sony Michel,RB,23,2020,0,0,2,15,15,38,0,0,0,0,0,535,2292,14,26,258,1,,,,Georgia,College Stats
1,32,BAL,Lamar Jackson,QB,21,2020,1,1,2,49,49,46,606,947,7085,68,18,482,2906,19,0,0,0,,,,Louisville,College Stats
2,33,CLE,Austin Corbett,C,23,2020,0,0,2,12,1,38,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,College Stats
2,34,NYG,Will Hernandez,G,23,2020,0,0,2,18,18,45,0,0,0,0,0,0,0,0,0,0,0,,,,Texas-El Paso,College Stats
2,35,CLE,Nick Chubb,RB,22,2020,0,2,3,24,24,44,0,0,0,0,0,680,3557,28,72,577,2,2,,,Georgia,College Stats
2,36,IND,Darius Leonard,LB,23,2020,2,2,3,40,40,42,0,0,0,0,0,0,0,0,0,0,0,268,7,15,South Carolina St.,
2,37,IND,Braden Smith,G,22,2020,0,0,3,21,21,45,0,0,0,0,0,0,0,0,0,0,0,,,,Auburn,College Stats
2,38,TAM,Ronald Jones II,RB,21,2020,0,0,2,15,15,39,0,0,0,0,0,387,1746,14,66,507,1,1,,,USC,College Stats
2,39,CHI,James Daniels,C,20,2020,0,0,3,13,13,37,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
2,40,DEN,Courtland Sutton,WR,22,2020,0,1,1,14,14,33,1,1,38,0,0,4,16,0,117,1882,10,1,,,SMU,College Stats
2,41,TEN,Harold Landry,OLB,22,2020,0,0,2,18,18,47,0,0,0,0,0,0,0,0,0,0,0,113,2,19,Boston Col.,College Stats
2,42,MIA,Mike Gesicki,TE,22,2020,0,0,1,12,12,47,0,0,0,0,0,0,0,0,126,1475,11,,,,Penn St.,College Stats
2,43,DET,Kerryon Johnson,RB,21,2020,0,0,1,10,10,34,0,0,0,0,0,283,1225,8,61,527,3,,,,Auburn,College Stats
2,44,SFO,Dante Pettis,WR,22,2020,0,0,0,6,5,30,1,1,16,0,0,1,-2,0,42,652,8,,,,Washington,College Stats
2,45,GNB,Josh Jackson,CB,22,2020,0,0,0,7,7,42,0,0,0,0,0,0,0,0,0,0,0,71,,,Iowa,College Stats
2,46,KAN,Breeland Speaks,DE,22,2018,0,0,0,3,3,16,0,0,0,0,0,0,0,0,0,0,0,15,,1.5,Mississippi,College Stats
2,47,ARI,Christian Kirk,WR,21,2020,0,0,3,15,15,39,0,0,0,0,0,15,131,0,159,1920,12,,,,Texas A&M,College Stats
2,48,LAC,Uchenna Nwosu,OLB,21,2020,0,0,0,8,8,45,0,0,0,0,0,0,0,0,0,0,0,61,,10,USC,College Stats
2,49,PHI,Dallas Goedert,TE,23,2020,0,0,3,10,10,42,0,0,0,0,0,0,0,0,137,1465,12,4,,,South Dakota St.,
2,50,DAL,Connor Williams,T,21,2020,0,0,3,17,17,40,0,0,0,0,0,0,0,0,0,0,0,,,,Texas,College Stats
2,51,CHI,Anthony Miller,WR,23,2020,0,0,2,12,12,47,1,1,8,0,0,9,37,0,134,1564,11,3,,,Memphis,College Stats
2,52,IND,Kemoko Turay,OLB,23,2020,0,0,0,3,3,25,0,0,0,0,0,0,0,0,0,0,0,16,,6.5,Rutgers,College Stats
2,53,TAM,M.J. Stewart,CB,22,2020,0,0,0,4,3,37,0,0,0,0,0,0,0,0,0,0,0,77,2,1,North Carolina,College Stats
2,54,CIN,Jessie Bates III,S,21,2020,0,0,3,20,20,48,0,0,0,0,0,0,0,0,0,0,0,222,9,,Wake Forest,College Stats
2,55,CAR,Donte Jackson,CB,22,2020,0,0,3,14,14,43,0,0,0,0,0,0,0,0,0,0,0,117,10,1,LSU,College Stats
2,56,NWE,Duke Dawson,CB,22,2020,0,0,0,3,,26,0,0,0,0,0,0,0,0,0,0,0,17,,,Florida,College Stats
2,57,OAK,P.J. Hall,DT,23,2020,0,0,2,12,8,40,0,0,0,0,0,0,0,0,0,0,0,52,,2.5,Sam Houston St.,
2,58,ATL,Isaiah Oliver,CB,21,2020,0,0,2,10,10,46,0,0,0,0,0,0,0,0,0,0,0,121,1,1,Colorado,College Stats
2,59,WAS,Derrius Guice,RB,21,2019,0,0,0,2,2,5,0,0,0,0,0,42,245,2,7,79,1,,,,LSU,College Stats
2,60,PIT,James Washington,WR,22,2020,0,0,2,10,10,45,0,0,0,0,0,0,0,0,90,1344,9,1,,,Oklahoma St.,College Stats
2,61,JAX,DJ Chark,WR,21,2020,0,1,2,13,13,39,0,0,0,0,0,2,20,0,140,1888,13,5,,,LSU,College Stats
2,62,MIN,Brian O'Neill,T,22,2020,0,0,3,20,20,46,0,0,0,0,0,0,0,0,0,0,0,,,,Pittsburgh,College Stats
2,63,TAM,Carlton Davis,CB,21,2020,0,0,3,13,13,41,0,0,0,0,0,0,0,0,0,0,0,142,5,,Auburn,College Stats
2,64,IND,Tyquan Lewis,DE,23,2020,0,0,0,7,7,33,0,0,0,0,0,0,0,0,0,0,0,31,,6,Ohio St.,College Stats
3,65,OAK,Brandon Parker,T,22,2020,0,0,1,9,9,37,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina A&T,
3,66,NYG,Lorenzo Carter,DE,22,2020,0,0,2,9,9,35,0,0,0,0,0,0,0,0,0,0,0,66,,9.5,Georgia,College Stats
3,67,CLE,Chad Thomas,DE,22,2019,0,0,0,5,5,20,0,0,0,0,0,0,0,0,0,0,0,17,,4,Miami (FL),College Stats
3,68,HOU,Justin Reid,S,21,2020,0,0,3,13,13,44,0,0,0,0,0,0,0,0,0,0,0,189,5,2,Stanford,College Stats
3,69,NYG,B.J. Hill,DT,23,2020,0,0,2,10,10,48,0,0,0,0,0,0,0,0,0,0,0,62,,7.5,North Carolina St.,College Stats
3,70,SFO,Fred Warner,OLB,21,2020,1,1,3,35,35,48,0,0,0,0,0,0,0,0,0,0,0,253,3,4,BYU,College Stats
3,71,DEN,Royce Freeman,RB,22,2020,0,0,0,9,9,46,0,0,0,0,0,297,1187,8,69,409,1,2,,,Oregon,College Stats
3,72,NYJ,Nathan Shepherd,DT,24,2020,0,0,0,8,8,39,0,0,0,0,0,0,0,0,0,0,0,19,,4.5,Fort Hays St.,
3,73,MIA,Jerome Baker,OLB,21,2020,0,0,3,16,16,48,0,0,0,0,0,0,0,0,0,0,0,203,2,11.5,Ohio St.,College Stats
3,74,WAS,Geron Christian,T,21,2020,0,0,0,4,4,24,0,0,0,0,0,0,0,0,0,0,0,,,,Louisville,College Stats
3,75,KAN,Derrick Nnadi,DT,22,2020,0,0,3,18,18,47,0,0,0,0,0,0,0,0,0,0,0,58,1,1,Florida St.,College Stats
3,76,PIT,Mason Rudolph,QB,23,2020,0,0,1,4,4,15,201,326,2089,15,10,28,36,0,0,0,0,,,,Oklahoma St.,College Stats
3,77,CIN,Sam Hubbard,DE,23,2020,0,0,2,15,15,44,0,0,0,0,0,0,0,0,0,0,0,106,,16.5,Ohio St.,College Stats
3,78,CIN,Malik Jefferson,OLB,21,2020,0,0,0,3,1,34,0,0,0,0,0,0,0,0,0,0,0,9,,,Texas,College Stats
3,79,SEA,Rasheem Green,DT,21,2020,0,0,1,6,6,36,0,0,0,0,0,0,0,0,0,0,0,29,,7,USC,College Stats
3,80,HOU,Martinas Rankin,T,23,2020,0,0,0,7,3,23,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats
3,81,DAL,Michael Gallup,WR,22,2020,0,0,3,18,18,46,0,0,0,0,0,0,0,0,158,2457,13,,,,Colorado St.,College Stats
3,82,DET,Tracy Walker,S,23,2020,0,0,1,7,7,44,0,0,0,0,0,0,0,0,0,0,0,164,2,1,Louisiana,College Stats
3,83,BAL,Orlando Brown Jr.,T,22,2020,0,2,3,29,29,48,0,0,0,0,0,0,0,0,0,0,0,,,,Oklahoma,College Stats
3,84,LAC,Justin Jones,DT,22,2020,0,0,2,12,12,40,0,0,0,0,0,0,0,0,0,0,0,44,,1.5,North Carolina St.,College Stats
3,85,CAR,Rashaan Gaulden,CB,23,2020,0,0,0,1,1,27,0,0,0,0,0,0,0,0,0,0,0,14,,,Tennessee,College Stats
3,86,BAL,Mark Andrews,TE,23,2020,0,1,0,23,23,45,0,0,0,0,0,0,0,0,156,2105,20,,,,Oklahoma,College Stats
3,87,OAK,Arden Key,DE,22,2020,0,0,1,6,6,37,0,0,0,0,0,0,0,0,0,0,0,34,,3,LSU,College Stats
3,88,GNB,Oren Burks,ILB,23,2020,0,0,0,5,5,42,0,0,0,0,0,0,0,0,0,0,0,39,,,Vanderbilt,College Stats
3,89,LAR,Joseph Noteboom,T,23,2020,0,0,0,9,9,32,0,0,0,0,0,0,0,0,0,0,0,,,,TCU,College Stats
3,90,ATL,Deadrin Senat,DT,24,2020,0,0,0,3,3,22,0,0,0,0,0,0,0,0,0,0,0,17,,,South Florida,College Stats
3,91,NOR,Tre'Quan Smith,WR,22,2020,0,0,3,11,11,40,0,0,0,0,0,1,3,0,80,1109,14,,,,Central Florida,College Stats
3,92,PIT,Chukwuma Okorafor,T,21,2020,0,0,1,9,9,30,0,0,0,0,0,0,0,0,0,0,0,,,,Western Michigan,College Stats
3,93,JAX,Ronnie Harrison,S,21,2020,0,0,2,12,9,39,0,0,0,0,0,0,0,0,0,0,0,92,4,4,Alabama,College Stats
3,94,TAM,Alex Cappa,T,23,2020,0,0,2,18,18,35,0,0,0,0,0,0,0,0,0,0,0,,,,Humboldt St.,
3,95,SFO,Tarvarius Moore,S,22,2020,0,0,1,7,7,48,0,0,0,0,0,0,0,0,0,0,0,73,,,Southern Miss,College Stats
3,96,BUF,Harrison Phillips,DT,22,2020,0,0,0,4,4,31,0,0,0,0,0,0,0,0,0,0,0,32,,0.5,Stanford,College Stats
3,97,ARI,Mason Cole,C,22,2020,0,0,2,13,13,46,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,College Stats
3,98,HOU,Jordan Akins,TE,26,2020,0,0,1,9,9,45,0,0,0,0,0,1,4,0,90,1046,3,,,,Central Florida,College Stats
3,99,DEN,Isaac Yiadom,CB,22,2020,0,0,2,9,5,45,0,0,0,0,0,0,0,0,0,0,0,78,1,0.5,Boston Col.,College Stats
3,100,KAN,Dorian O'Daniel,OLB,24,2020,0,0,0,4,4,41,0,0,0,0,0,0,0,0,0,0,0,33,,1,Clemson,College Stats
4,101,CAR,Ian Thomas,TE,22,2020,0,0,0,5,5,48,0,0,0,0,0,0,0,0,72,614,4,1,,,Indiana,College Stats
4,102,MIN,Jalyn Holmes,DE,22,2020,0,0,0,5,5,25,0,0,0,0,0,0,0,0,0,0,0,21,,1,Ohio St.,College Stats
4,103,HOU,Keke Coutee,WR,21,2020,0,0,0,7,7,23,0,0,0,0,0,5,14,1,83,941,4,,,,Texas Tech,College Stats
4,104,IND,Nyheim Hines,RB,21,2020,0,0,0,17,17,48,0,0,0,0,0,226,893,7,170,1227,6,1,,,North Carolina St.,College Stats
4,105,CLE,Antonio Callaway,WR,21,2020,0,0,1,5,5,25,0,0,0,0,0,2,7,0,53,695,5,,,,Florida,College Stats
4,106,DEN,Josey Jewell,ILB,23,2020,0,0,2,15,15,47,0,0,0,0,0,0,0,0,0,0,0,126,,3.5,Iowa,College Stats
4,107,NYJ,Chris Herndon,TE,22,2020,0,0,2,6,6,33,0,0,0,0,0,0,0,0,71,796,7,,,,Miami (FL),College Stats
4,108,NYG,Kyle Lauletta,QB,23,2018,0,0,0,0,0,2,0,5,0,0,1,1,-2,0,0,0,0,,,,Richmond,
4,109,WAS,Troy Apke,S,23,2020,0,0,1,5,5,33,0,0,0,0,0,0,0,0,0,0,0,44,1,,Penn St.,College Stats
4,110,OAK,Nick Nelson,CB,21,2019,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,0,0,10,,,Wisconsin,College Stats
4,111,LAR,Brian Allen,C,22,2019,0,0,1,6,6,22,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan St.,College Stats
4,112,CIN,Mark Walton,RB,21,2019,0,0,0,3,1,21,0,0,0,0,0,67,235,0,20,130,0,4,,,Miami (FL),College Stats
4,113,DEN,DaeSean Hamilton,WR,23,2020,0,0,0,6,6,46,0,0,0,0,0,0,0,0,81,833,5,,,,Penn St.,College Stats
4,114,DET,Da'Shawn Hand,DE,22,2020,0,0,1,7,7,26,0,0,0,0,0,0,0,0,0,0,0,38,,3,Alabama,College Stats
4,115,CHI,Joel Iyiegbuniwe,LB,22,2020,0,0,0,3,3,47,0,0,0,0,0,0,0,0,0,0,0,21,,,Western Kentucky,College Stats
4,116,DAL,Dorance Armstrong Jr.,DE,21,2020,0,0,0,6,6,46,0,0,0,0,0,0,0,0,0,0,0,41,,2.5,Kansas,College Stats
4,117,TAM,Jordan Whitehead,S,21,2020,0,0,3,14,14,45,0,0,0,0,0,0,0,0,0,0,0,164,3,2,Pittsburgh,College Stats
4,118,BAL,Anthony Averett,CB,23,2020,0,0,0,4,4,30,0,0,0,0,0,0,0,0,0,0,0,41,,,Alabama,College Stats
4,119,LAC,Kyzir White,S,22,2020,0,0,1,12,12,30,0,0,0,0,0,0,0,0,0,0,0,87,2,0.5,West Virginia,College Stats
4,120,SEA,Will Dissly,TE,22,2020,0,0,1,5,5,26,0,0,0,0,0,1,7,0,55,669,8,1,,,Washington,College Stats
4,121,BUF,Taron Johnson,CB,22,2020,0,0,2,17,17,39,0,0,0,0,0,0,0,0,0,0,0,143,2,3,Weber St.,
4,122,BAL,Kenny Young,LB,23,2020,0,0,1,11,6,46,0,0,0,0,0,0,0,0,0,0,0,86,1,3.5,UCLA,College Stats
4,123,MIA,Durham Smythe,TE,23,2020,0,0,2,2,2,46,0,0,0,0,0,0,0,0,39,323,2,6,,,Notre Dame,College Stats
